canonical_name,match_type,tiers_present,total_mentions,document_count,profiles_present,covered,excluded,unknown,phrase_count,sentence_count,parent_headers
High-dose chemotherapy and/or total body irradiation,exact,2,38,12,ppo_medical,38,0,0,38,0,Oncology Clinical Trials | Transplant Services
Hospitalization,exact,2,38,12,ppo_medical,38,0,0,38,0,Oncology Clinical Trials | Transplant Services
Allogeneic Transplants,exact,"2,3",38,14,ppo_medical,28,0,10,36,2,Oncology Clinical Trials | Transplant Services
Services provided by the hospital’s or facility’s staff,exact,2,37,13,ppo_medical,0,37,0,0,37,Behavioral Health Services (Mental Health and Substance Use Disorder)
Occupational therapy,exact,"1,2",36,14,ppo_medical,36,0,0,36,0,Autism Spectrum Disorders | Home Health Care Services
Speech language therapy,exact,"1,2",36,14,ppo_medical,36,0,0,36,0,Autism Spectrum Disorders | Home Health Care Services
Autologous Transplants,exact,"2,3",33,14,ppo_medical,18,0,15,20,13,Oncology Clinical Trials | Transplant Services
Payment for noncovered drugs or services,exact,2,33,13,ppo_medical,0,33,0,0,33,Prescription Drugs
Temporomandibular surgery,exact,2,31,16,"csr_rider,ppo_medical",31,0,0,31,0,BCBSM PPO In-Network Providers | BCBSM PPO Out-of-Network Providers | Coinsurance Requirements
Infertility testing and treatment,exact,2,31,16,"csr_rider,ppo_medical",31,0,0,31,0,BCBSM PPO In-Network Providers | BCBSM PPO Out-of-Network Providers | Coinsurance Requirements
Prosthetics and orthotics,exact,2,31,16,"csr_rider,ppo_medical",31,0,0,31,0,BCBSM PPO In-Network Providers | BCBSM PPO Out-of-Network Providers | Coinsurance Requirements
Contraceptive Services,exact,"1,2,3",31,14,ppo_medical,30,0,1,31,0,Collaborative Care Management | Preventive Care Services
Bariatric surgery,exact,2,30,16,"csr_rider,ppo_medical",30,0,0,30,0,BCBSM PPO In-Network Providers | BCBSM PPO Out-of-Network Providers | Coinsurance Requirements | Surgery
Services that require less than intensive monitoring or supervision because the member ’s endurance while exercising and management of risk factors are stable,exact,2,28,14,ppo_medical,0,28,0,0,28,Cardiac Rehabilitation | Pulmonary Rehabilitation
Diagnostic X-rays,exact,2,28,14,ppo_medical,28,0,0,28,0,Dental Services
"Items that are not considered by BCBSM to be directly related to travel and lodging. Examples include, but are not limited to",exact,2,28,14,ppo_medical,0,28,0,0,28,Oncology Clinical Trials | Transplant Services
Allergy Testing and Therapy,exact,"1,3",27,14,ppo_medical,14,0,13,27,0,Allergy Testing and Therapy | BCBSM PPO Out-of-Network Providers
Custodial care,exact,2,27,14,ppo_medical,0,27,0,27,0,Behavioral Health Services (Mental Health and Substance Use Disorder) | Skilled Nursing Facility Services
Diagnostic Services,exact,"1,2",27,14,ppo_medical,27,0,0,27,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services given when intensive monitoring and/or supervision during exercise is required.,exact,2,27,14,ppo_medical,27,0,0,0,27,Cardiac Rehabilitation | Pulmonary Rehabilitation
Chemotherapy,exact,"1,3",27,14,ppo_medical,14,0,13,27,0,Cardiac Rehabilitation
Chronic Disease Management,exact,"1,3",27,14,ppo_medical,14,0,13,27,0,Chiropractic Services and Osteopathic Manipulative Therapy
"More than the combined 30 habilitative and the combined 30 rehabilitative outpatient visits for physical and occupational therapy per member per calendar year, (see above about combined benefit) whether obtained from an in-network or out-of-network provider",exact,2,27,14,ppo_medical,0,27,0,0,27,Occupational Therapy | Physical Therapy
Services received from a nonparticipating hospital or nonparticipating facility,exact,2,27,14,ppo_medical,0,27,0,0,27,Occupational Therapy | Physical Therapy
Therapy billed as an habilitative service when it does not meet the definition of habilitative service in this certificate,exact,2,27,14,ppo_medical,0,27,0,0,27,Physical Therapy | Speech Language Therapy
Acute Care,exact,"2,3",27,14,ppo_medical,0,14,13,14,13,Skilled Nursing Facility Services
Treatment or supplies that do not meet BCBSM requirements,exact,2,26,13,ppo_medical,0,26,0,0,26,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services provided by the facility's staff,exact,2,26,13,ppo_medical,13,13,0,0,26,Behavioral Health Services (Mental Health and Substance Use Disorder)
Prescribed drugs given by the facility in connection with treatment,exact,2,26,13,ppo_medical,13,13,0,0,26,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services provided in a skilled nursing facility or through a residential or outpatient substance abuse treatment program,exact,2,26,13,ppo_medical,0,26,0,0,26,Behavioral Health Services (Mental Health and Substance Use Disorder)
Services provided by a nonparticipating outpatient psychiatric care facility,exact,2,26,13,ppo_medical,0,26,0,0,26,Behavioral Health Services (Mental Health and Substance Use Disorder)
Certified Nurse Practitioner,exact,"2,3",26,14,ppo_medical,13,0,13,13,13,Chronic Disease Management
Clinical Nurse Specialist-Certified,exact,"2,3",26,14,ppo_medical,13,0,13,13,13,Chronic Disease Management
Athletic Trainer,exact,"2,3",26,14,ppo_medical,13,0,13,13,13,Chronic Disease Management
Approved clinical trial,exact,"2,3",26,14,ppo_medical,13,0,13,13,13,Clinical Trials (Routine Patient Costs)
Medically necessary to treat severe deficits in members who have certain conditions that are identified by BCBSM,exact,2,26,13,ppo_medical,0,26,0,0,26,Occupational Therapy | Physical Therapy
Cardiac Rehabilitation,exact,"1,3",25,14,ppo_medical,14,0,11,25,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
The drug Interactions,exact,2,25,13,ppo_medical,25,0,0,25,0,Collaborative Care Management | Value Based Programs
Routine care during the newborn’s eligible hospital stay.,exact,2,25,14,ppo_medical,25,0,0,25,0,Maternity Care | Newborn Care
Nuclear cardiac studies,exact,2,24,13,ppo_medical,24,0,0,24,0,Diagnostic Services | Radiology Services
Contraceptive Counseling,exact,"2,3",24,13,ppo_medical,12,0,12,12,12,Preventive Care Services
Ambulance Services,exact,"1,3",23,14,ppo_medical,14,0,9,14,9,
Search of the National Bone Marrow Donor Program Registry for a donor. A search will begin only when the need for a donor is established and the transplant is preapproved.,exact,2,23,12,ppo_medical,23,0,0,0,23,Oncology Clinical Trials | Transplant Services
"Infusion of bone marrow, peripheral blood stem cells, and/or umbilical cord blood",exact,2,23,12,ppo_medical,23,0,0,0,23,Oncology Clinical Trials | Transplant Services
T-cell depleted infusion,exact,2,23,12,ppo_medical,23,0,0,23,0,Oncology Clinical Trials | Transplant Services
Donor lymphocyte infusion,exact,2,23,12,ppo_medical,23,0,0,23,0,Oncology Clinical Trials | Transplant Services
Amounts that exceed our approved amount for covered specialty drugs or out-of-network retail penalty amounts.,exact,2,23,14,ppo_medical,0,23,0,0,23,Prescription Drugs
Applied Behavior Analysis (ABA) treatment,exact,2,21,14,"csr_rider,ppo_medical",21,0,0,21,0,Autism Spectrum Disorders | BCBSM PPO In-Network Providers | Copayment Requirements
Oncology Clinical Trials,exact,"1,3",21,14,ppo_medical,14,0,7,21,0,Oncology Clinical Trials
Adverse Benefit Decision,exact,3,19,19,"dental,ppo_medical,vision",0,0,19,0,19,
Appeals,exact,3,19,19,"dental,ppo_medical,vision",0,0,19,0,19,
Approved Amount,exact,3,19,19,"dental,ppo_medical,vision",0,0,19,0,19,
BCBSM,exact,3,19,19,"dental,ppo_medical,vision",0,0,19,0,19,
Calendar Year,exact,3,19,19,"dental,ppo_medical,vision",0,0,19,0,19,
Cancellation,exact,3,19,19,"dental,ppo_medical,vision",0,0,19,0,19,
Certificate,exact,3,19,19,"dental,ppo_medical,vision",0,0,19,0,19,
Claim for Damages,exact,3,19,19,"dental,ppo_medical,vision",0,0,19,0,19,
Coinsurance,exact,3,19,19,"dental,ppo_medical,vision",0,0,19,0,19,
Alveoloplasty,exact,"2,3",19,14,ppo_medical,14,0,5,19,0,Contraceptive Services | Dental Services
Genetic testing,exact,"2,3",18,18,"dental,ppo_medical,vision",12,0,6,12,6,Autism Spectrum Disorders
Specialty drugs obtained from any provider other than our exclusive pharmacy network for specialty drugs.,exact,2,18,14,ppo_medical,0,18,0,0,18,Prescription Drugs
More than 30 visits a year for combined outpatient cardiac or pulmonary rehabilitation services,exact,2,18,14,ppo_medical,0,18,0,0,18,Cardiac Rehabilitation | Pulmonary Rehabilitation
Billing,exact,3,17,17,"ppo_medical,vision",0,0,17,0,17,
Contract,exact,3,17,17,"dental,ppo_medical,vision",0,0,17,0,17,
24/7 virtual visits only when performed through the Blue Cross selected vendor app,exact,2,17,17,"csr_rider,ppo_medical",17,0,0,0,17,BCBSM PPO In-Network Providers | Copayment Requirements
Immunizations,exact,2,17,10,ppo_medical,17,0,0,17,0,Oncology Clinical Trials | Preventive Care Services
Administration of blood,exact,2,17,14,ppo_medical,17,0,0,17,0,Surgery
Autism Spectrum Disorders,exact,"1,3",16,14,ppo_medical,14,0,2,14,2,
Dental Services,exact,"1,3",16,16,"dental,ppo_medical",14,0,2,14,2,
Colonoscopy,exact,"2,3",16,14,ppo_medical,14,0,2,14,2,Preventive Care Services
Laboratory examinations,exact,"2,3",16,16,"dental,ppo_medical",14,0,2,16,0,Class I – Diagnostic and Preventive Services | Skilled Nursing Facility Services
Ambulatory Surgery Facility,exact,"2,3",16,14,ppo_medical,3,0,13,3,13,Surgery
Copayment,exact,3,15,15,"dental,ppo_medical,vision",0,0,15,0,15,
Behavioral health services,exact,"2,3",15,14,ppo_medical,14,0,1,15,0,Autism Spectrum Disorders | Gender Affirming Services
Infusion of bone marrow and/or peripheral blood stem cells,exact,2,15,12,ppo_medical,15,0,0,15,0,Oncology Clinical Trials | Transplant Services
Specialty Pharmaceuticals,exact,"2,3",15,13,ppo_medical,3,0,12,15,0,Prescription Drugs
Contraceptive Drugs,exact,"2,3",15,9,ppo_medical,6,0,9,15,0,Preventive Care Services
Allergy Testing,exact,2,14,14,ppo_medical,14,0,0,14,0,Allergy Testing and Therapy
Allergy Therapy,exact,2,14,14,ppo_medical,14,0,0,14,0,Allergy Testing and Therapy
Fungal or bacterial skin tests (such as those given for tuberculosis or diphtheria),exact,2,14,14,ppo_medical,0,14,0,0,14,Allergy Testing and Therapy
"Self-administered, over-the-counter drugs",exact,2,14,14,ppo_medical,0,14,0,14,0,Allergy Testing and Therapy
"Psychological testing, evaluation, or therapy for allergies",exact,2,14,14,ppo_medical,0,14,0,14,0,Allergy Testing and Therapy
"Environmental studies, evaluation, or control",exact,2,14,14,ppo_medical,0,14,0,14,0,Allergy Testing and Therapy
A member to be taken to the nearest approved destination capable of providing the level of care necessary to treat the member’s condition,exact,2,14,14,ppo_medical,14,0,0,0,14,Ambulance Services
The ambulance arrives at the scene but transport is not needed or is refused.,exact,2,14,14,ppo_medical,14,0,0,0,14,Ambulance Services
The ambulance arrives at the scene but the member has expired.,exact,2,14,14,ppo_medical,14,0,0,0,14,Ambulance Services
Non-emergent air ambulance services between covered destinations,exact,2,14,14,ppo_medical,14,0,0,14,0,Ambulance Services
"The transfer must be preapproved and prescribed by the attending physician, and",exact,2,14,14,ppo_medical,14,0,0,0,14,Ambulance Services
The member will be taken to the nearest approved location capable of providing the level of care necessary to treat the member’s condition,exact,2,14,14,ppo_medical,14,0,0,0,14,Ambulance Services
No other means of transportation are available,exact,2,14,14,ppo_medical,14,0,0,14,0,Ambulance Services
The member ’s condition requires transportation by air ambulance rather than ground ambulance,exact,2,14,14,ppo_medical,14,0,0,0,14,Ambulance Services
The provider is not a commercial airline,exact,2,14,14,ppo_medical,14,0,0,14,0,Ambulance Services
The member is taken to the nearest facility capable of treating the member 's condition.,exact,2,14,14,ppo_medical,14,0,0,0,14,Ambulance Services
"Services provided by fire departments, rescue squads or other emergency transport providers whose fees are in the form of donations.",exact,2,14,14,ppo_medical,0,14,0,0,14,Ambulance Services
Air ambulance services when the member’s condition does not require air ambulance transport.,exact,2,14,14,ppo_medical,0,14,0,0,14,Ambulance Services
Air ambulance services when a hospital or air ambulance provider is required to pay for the transport under the law.,exact,2,14,14,ppo_medical,0,14,0,0,14,Ambulance Services
Anesthesiology Services,exact,1,14,14,ppo_medical,14,0,0,14,0,
Anesthesiology during surgery,exact,2,14,14,ppo_medical,14,0,0,14,0,Anesthesiology Services
Directly supervised by the physician performing the surgery or procedure or,exact,2,14,14,ppo_medical,14,0,0,0,14,Anesthesiology Services
Under the indirect supervision of the physician responsible for anesthesiology services,exact,2,14,14,ppo_medical,14,0,0,0,14,Anesthesiology Services
Anesthesia during infusion therapy,exact,2,14,14,ppo_medical,14,0,0,14,0,Anesthesiology Services
Other Services,exact,2,14,14,ppo_medical,14,0,0,14,0,Anesthesiology Services
Audiologist Services,exact,1,14,14,ppo_medical,14,0,0,14,0,
"Services performed by an audiologist, if they are prescribed by a provider who is legally authorized to prescribe the services.",exact,2,14,14,ppo_medical,14,0,0,0,14,Audiologist Services
Diagnostic services provided by a qualified provider.,exact,2,14,14,ppo_medical,14,0,0,0,14,Autism Spectrum Disorders
Treatment prescribed by a physician or licensed psychologist,exact,2,14,14,ppo_medical,14,0,0,0,14,Autism Spectrum Disorders
Behavioral Health Services (Mental Health and Substance Use Disorder),exact,1,14,14,ppo_medical,14,0,0,14,0,
Electroconvulsive Therapy (ECT),exact,2,14,14,ppo_medical,14,0,0,14,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
Transcranial Magnetic Stimulation (TMS),exact,2,14,14,ppo_medical,14,0,0,14,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
Inpatient Hospital Mental Health Services,exact,2,14,14,ppo_medical,14,0,0,14,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
Psychiatric Partial Hospitalization Program (PHP),exact,2,14,14,ppo_medical,0,14,0,14,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
"Outpatient Psychiatric Care Facility, Office Setting, Online and Virtual",fuzzy,2,14,14,ppo_medical,0,14,0,14,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
"Services provided by a qualified provider, including but not limited to a physician, fully licensed psychologist, certified nurse practitioner, clinical nurse specialist-certified, clinical licensed master’s social worker, licensed professional counselor, limited licensed psychologists, or licensed marriage and family therapist, or other professional provider as determined by BCBSM in a participating outpatient psychiatric care facility or an office setting",exact,2,14,14,ppo_medical,0,14,0,0,14,Behavioral Health Services (Mental Health and Substance Use Disorder)
Inpatient Hospital,exact,2,14,14,ppo_medical,14,0,0,14,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
Residential and Outpatient Substance Abuse Treatment Facility,exact,2,14,14,ppo_medical,14,0,0,14,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
Substance Use Disorder Partial Hospitalization Program (PHP),exact,2,14,14,ppo_medical,0,14,0,14,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
Outpatient Psychiatric Care Facility and Office Setting,exact,2,14,14,ppo_medical,0,14,0,14,0,Behavioral Health Services (Mental Health and Substance Use Disorder)
"Services that began during a hospital admission for an invasive cardiovascular procedure (e.g., heart surgery) or an acute cardiovascular event (e.g., heart attack)",exact,2,14,14,ppo_medical,14,0,0,0,14,Cardiac Rehabilitation
Ordered by a physician for the treatment of a specific type of malignant disease,exact,2,14,14,ppo_medical,14,0,0,0,14,Chemotherapy
Provided as part of a chemotherapy program and,exact,2,14,14,ppo_medical,14,0,0,14,0,Chemotherapy
Approved by the Food and Drug Administration (FDA) for use in chemotherapy treatment,exact,2,14,14,ppo_medical,14,0,0,0,14,Chemotherapy
Current medical literature must confirm that the drug is effective for the disease being treated,exact,2,14,14,ppo_medical,14,0,0,0,14,Chemotherapy
Recognized oncology organizations must generally accept the drug as treatment for the specific disease,exact,2,14,14,ppo_medical,14,0,0,0,14,Chemotherapy
The physician must obtain informed consent from the member for the treatment.,exact,2,14,14,ppo_medical,14,0,0,0,14,Chemotherapy
Chiropractic Services and Osteopathic Manipulative Therapy,exact,1,14,14,ppo_medical,14,0,0,14,0,
Osteopathic manipulation therapy (OMT) on any location of the body,exact,2,14,14,ppo_medical,14,0,0,14,0,Chiropractic Services and Osteopathic Manipulative Therapy
Chiropractic spinal manipulation (CSM) to treat misaligned or displaced vertebrae of the spine and chiropractic manipulations (CM) to treat other areas of the body allowed by BCBSM,exact,2,14,14,ppo_medical,14,0,0,0,14,Chiropractic Services and Osteopathic Manipulative Therapy
Chiropractic office visits,exact,2,14,14,ppo_medical,14,0,0,14,0,Chiropractic Services and Osteopathic Manipulative Therapy
"Physical medicine that is part of a treatment plan prepared by your chiropractor. The plan must be signed by your M.D. or D.O. before you receive physical medicine services for those services to be covered. If a treatment plan is not signed by your M.D. or D.O. before services are rendered, the services will not be covered and you may have to pay for them.",exact,2,14,14,ppo_medical,14,0,0,0,14,Chiropractic Services and Osteopathic Manipulative Therapy
"Mechanical traction once per day when it is given with CSM or CM. These visits are applied toward your combined 30-visit limit for rehabilitative physical medicine, physical and occupational therapy services.",exact,2,14,14,ppo_medical,14,0,0,0,14,Chiropractic Services and Osteopathic Manipulative Therapy
X-rays when medically necessary.,exact,2,14,14,ppo_medical,14,0,0,0,14,Chiropractic Services and Osteopathic Manipulative Therapy
Chronic disease management services provided by,exact,2,14,14,ppo_medical,14,0,0,0,14,Chronic Disease Management
Clinical Trials (Routine Patient Costs),exact,1,14,14,ppo_medical,14,0,0,14,0,
All routine services covered under this certificate and related riders that would be covered even if the member were not enrolled in an approved clinical trial,exact,2,14,14,ppo_medical,14,0,0,0,14,Clinical Trials (Routine Patient Costs)
"The experimental or investigational item, device or service",exact,2,14,14,ppo_medical,0,14,0,14,0,Clinical Trials (Routine Patient Costs)
Use of transition technologies as a routine service in an approved clinical trial such as cellular or gene therapies that have not been FDA approved for those indications,exact,2,14,14,ppo_medical,0,14,0,0,14,Clinical Trials (Routine Patient Costs)
Routine patient costs for Phase I clinical trials whose primary purpose is not for therapeutic intent,exact,2,14,14,ppo_medical,0,14,0,0,14,Clinical Trials (Routine Patient Costs)
"Items and services provided solely to satisfy data collection and analysis needs and that are not used in the direct clinical management of the trial participant, or",exact,2,14,14,ppo_medical,0,14,0,0,14,Clinical Trials (Routine Patient Costs)
A service that is clearly inconsistent with widely accepted and established standards of care for a particular diagnosis.,exact,2,14,14,ppo_medical,0,14,0,0,14,Clinical Trials (Routine Patient Costs)
Collaborative Care Management,exact,1,14,14,ppo_medical,14,0,0,14,0,
Telephone or face-to-face contact and group interventions,exact,2,14,14,ppo_medical,14,0,0,14,0,Collaborative Care Management
Services performed by providers who are not designated as CoCare providers,exact,2,14,14,ppo_medical,0,14,0,0,14,Collaborative Care Management
Emergency Dental Care,exact,2,14,14,ppo_medical,14,0,0,14,0,Dental Services
Dental Services in a Participating Hospital,exact,2,14,14,ppo_medical,14,0,0,14,0,Dental Services
We will pay for dental treatment for a member in a participating hospital if the treatment helps improve the medical condition that put the member in the hospital. The dental condition must be hindering improvement of the medical condition.,exact,2,14,14,ppo_medical,14,0,0,0,14,Dental Services
We may pay for facility and anesthesia services for a member in a participating hospital if dental treatment would be unsafe in an office setting.,exact,2,14,14,ppo_medical,14,0,0,0,14,Dental Services
Multiple extractions or removal of unerupted teeth,exact,2,14,14,ppo_medical,14,0,0,14,0,Dental Services
Other Dental Services,exact,2,14,14,ppo_medical,14,0,0,14,0,Dental Services
Surgery directly to the temporomandibular joint (jaw joint) and related anesthesia services,exact,2,14,14,ppo_medical,14,0,0,0,14,Dental Services
Arthrocentesis performed for the treatment of temporomandibular joint (jaw joint) dysfunction),exact,2,14,14,ppo_medical,14,0,0,0,14,Dental Services
Reversible appliance therapy (mandibular orthotic repositioning device such as a bite splint),exact,2,14,14,ppo_medical,14,0,0,0,14,Dental Services
Routine dental services,exact,2,14,14,ppo_medical,0,14,0,14,0,Dental Services
Treatment that was previously paid as a result of an accident,exact,2,14,14,ppo_medical,0,14,0,0,14,Dental Services
Services covered under any other health plan,exact,2,14,14,ppo_medical,0,14,0,14,0,Dental Services
"Dental implants and related services, including repair and maintenance of implants and surrounding tissue",exact,2,14,14,ppo_medical,0,14,0,0,14,Dental Services
Dental conditions existing before an accident requiring emergency dental treatment,exact,2,14,14,ppo_medical,0,14,0,14,0,Dental Services
Services to treat temporomandibular joint dysfunction (except as described above),exact,2,14,14,ppo_medical,0,14,0,14,0,Dental Services
Physician services are payable for tests such as,exact,2,14,14,ppo_medical,14,0,0,14,0,Diagnostic Services
Physician and independent physical therapist services are payable for the following tests,exact,2,14,14,ppo_medical,14,0,0,0,14,Diagnostic Services
In a participating hospital (under the direction of a pathologist employed by the hospital) or,exact,2,14,14,ppo_medical,14,0,0,0,14,Diagnostic Services
"In an office for standard office laboratory tests approved by BCBSM and in connection with medical care. (We do not pay for nonstandard tests performed in a physician’s office). Tests must be provided by the member ’s attending physician or by another physician, if prescribed by the attending physician, or",exact,2,14,14,ppo_medical,14,0,0,0,14,Diagnostic Services
By a laboratory when prescribed by a physician,exact,2,14,14,ppo_medical,14,0,0,0,14,Diagnostic Services
"By a participating substance abuse facility in connection with treatment of substance use disorder, or",exact,2,14,14,ppo_medical,14,0,0,0,14,Diagnostic Services
"By your physician, or",exact,2,14,14,ppo_medical,14,0,0,14,0,Diagnostic Services
"By another physician, if your in-network physician refers you to one, or",exact,2,14,14,ppo_medical,14,0,0,0,14,Diagnostic Services
Dialysis Services,exact,1,14,14,ppo_medical,14,0,0,14,0,
Acute renal (kidney) failure,exact,2,14,14,ppo_medical,14,0,0,14,0,Dialysis Services
"Chronic, irreversible kidney failure (End Stage Renal Disease (ESRD))",exact,2,14,14,ppo_medical,14,0,0,14,0,Dialysis Services
Ultrafiltration,exact,2,14,14,ppo_medical,14,0,0,14,0,Dialysis Services
Equipment,exact,2,14,14,ppo_medical,14,0,0,14,0,Dialysis Services
Solutions,exact,2,14,14,ppo_medical,14,0,0,14,0,Dialysis Services
Routine laboratory tests,exact,2,14,14,ppo_medical,14,0,0,14,0,Dialysis Services
Drugs,exact,2,14,14,ppo_medical,14,0,0,14,0,Dialysis Services
Supplies,exact,2,14,14,ppo_medical,14,0,0,14,0,Dialysis Services
Other medically necessary services related to dialysis treatment,exact,2,14,14,ppo_medical,14,0,0,14,0,Dialysis Services
Services provided by a nonparticipating end stage renal disease facility,exact,2,14,14,ppo_medical,0,14,0,0,14,Dialysis Services
Services not provided by the employees of the ESRD facility,exact,2,14,14,ppo_medical,0,14,0,0,14,Dialysis Services
Services not related to the dialysis process,exact,2,14,14,ppo_medical,0,14,0,14,0,Dialysis Services
Home hemodialysis,exact,2,14,14,ppo_medical,14,0,0,14,0,Dialysis Services
Expenses to train the member and one other person who will assist the member in the home in operating the equipment,exact,2,14,14,ppo_medical,14,0,0,0,14,Dialysis Services
Laboratory tests related to the dialysis,exact,2,14,14,ppo_medical,14,0,0,14,0,Dialysis Services
"Supplies required during the dialysis, such as dialysis membrane, solution, tubing and drugs",exact,2,14,14,ppo_medical,14,0,0,0,14,Dialysis Services
Removal of the equipment after it is no longer needed,exact,2,14,14,ppo_medical,14,0,0,14,0,Dialysis Services
"Services provided by persons under contract with the hospital, agencies or organizations assisting in the dialysis or acting as ""backup"" including hospital personnel sent to the member's home",exact,2,14,14,ppo_medical,0,14,0,0,14,Dialysis Services
Electricity or water used to operate the dialyzer,exact,2,14,14,ppo_medical,0,14,0,14,0,Dialysis Services
"Installation of electric power, a water supply or a sanitary waste disposal system",exact,2,14,14,ppo_medical,0,14,0,0,14,Dialysis Services
Transfer of the dialyzer to another location in the member’s home,exact,2,14,14,ppo_medical,0,14,0,0,14,Dialysis Services
Physician services not paid by the hospital,exact,2,14,14,ppo_medical,0,14,0,14,0,Dialysis Services
The use of durable medical equipment while you are in the hospital.,exact,2,14,14,ppo_medical,14,0,0,0,14,Durable Medical Equipment
"The rental or purchase of durable medical equipment, if prescribed by a physician or other provider licensed to prescribe it. You may obtain it from",exact,2,14,14,ppo_medical,14,0,0,0,14,Durable Medical Equipment
"Exercise and hygienic equipment, such as exercycles, Moore Wheel, bidet toilet seats and bathtub seats",exact,2,14,14,ppo_medical,0,14,0,0,14,Durable Medical Equipment
"Deluxe equipment, such as motorized wheelchairs and beds, unless medically necessary and required so that members can operate the equipment themselves",exact,2,14,14,ppo_medical,0,14,0,0,14,Durable Medical Equipment
"Comfort and convenience items, such as bed boards, bathtub lifts, overbed tables, adjust-a-beds, telephone arms or air conditioners",exact,2,14,14,ppo_medical,0,14,0,0,14,Durable Medical Equipment
"Provider’s equipment, such as stethoscopes",exact,2,14,14,ppo_medical,0,14,0,14,0,Durable Medical Equipment
"Self-help devices not primarily medical in nature, such as sauna baths and elevators",exact,2,14,14,ppo_medical,0,14,0,0,14,Durable Medical Equipment
Experimental equipment,exact,2,14,14,ppo_medical,0,14,0,14,0,Durable Medical Equipment
Emergency Treatment,exact,1,14,14,ppo_medical,14,0,0,14,0,
Facility and professional services to examine and treat a medical emergency or accidental injury.,exact,2,14,14,ppo_medical,14,0,0,0,14,Emergency Treatment
Enhanced Condition Management Program (ECMP),exact,1,14,14,ppo_medical,14,0,0,14,0,
Diabetes Prevention Program,exact,2,14,14,ppo_medical,14,0,0,14,0,Enhanced Condition Management Program (ECMP)
"Select services, equipment, and tools to reduce the risk of a Type 2 diabetes diagnosis",exact,2,14,14,ppo_medical,14,0,0,0,14,Enhanced Condition Management Program (ECMP)
Enhanced Diabetes Management Program,exact,2,14,14,ppo_medical,14,0,0,14,0,Enhanced Condition Management Program (ECMP)
